Name,DOB,Address,Phonenumber,Email,Handle,Team,Link
Sam Segfault,12/04/2003,Studentagata 19 Reykjavik,3546110001,segfault.sam@example.com,SegFaultSam,SegFault Spartans,https://twitch.tv/SegFaultSam
Sara Stacksmash,23/09/2004,Gardarstraeti 39,3546110002,stacksmash.sara@example.com,StackSmashSara,SegFault Spartans,https://github.com/StackSmashSara
Karl Coredump,08/01/2005,Studentagata 3 Reykjavik,3546110003,core.karl@example.com,CoreDumpKarl,SegFault Spartans,https://twitter.com/CoreDumpKarl
Nina Null,10/02/2004,Kennarabraut 1 Reykjavik,3546110004,nina.null@example.com,NullPointerNina,NullPointer Ninjas,https://twitch.tv/NullPointerNina
Dan Dangling,30/11/2003,Kennarabraut 2 Reykjavik,3546110005,dan.dangling@example.com,DanglingPtrDan,NullPointer Ninjas,https://github.com/DanglingPtrDan
Val Void,21/06/2005,Kennarabraut 3 Reykjavik,3546110006,val.void@example.com,VoidStarVal,NullPointer Ninjas,https://twitter.com/VoidStarVal
Olaf Offby,19/07/2003,Sundurvegur 1 Kopavogur,3546110007,olaf.offby@example.com,OffByOneOlaf,OffByOne Offense,https://twitch.tv/OffByOneOlaf
Frida Fencepost,03/12/2004,Sundurvegur 2 Kopavogur,3546110008,frida.fencepost@example.com,FencepostFrida,OffByOne Offense,https://github.com/FencepostFrida
Ian Index,15/03/2005,Sundurvegur 3 Kopavogur,3546110009,ian.index@example.com,IndexMinusOne,OffByOne Offense,https://twitter.com/IndexMinusOne
Palli Pepsi,05/05/2003,LANgata 1 Reykjavik,3546110010,palli.pepsi@example.com,PepsiMaxPalli,Pepsi Max Punishers,https://twitch.tv/PepsiMaxPalli
Asta Aspartame,17/08/2004,LANgata 2 Reykjavik,3546110011,asta.aspartame@example.com,AspartameAssassin,Pepsi Max Punishers,https://github.com/AspartameAssassin
Sigurjon Zero,29/10/2005,LANgata 3 Reykjavik,3546110012,sigurjon.zero@example.com,ZeroSugarZeroSkill,Pepsi Max Punishers,https://twitter.com/ZeroSugarZeroSkill
Rik Roundhouse,09/09/2003,Turnhut 1 Reykjavik,3546110013,rik.roundhouse@example.com,RoundhouseRik,Chuck Norris Fan Club,https://twitch.tv/RoundhouseRik
Nora Norris,14/01/2004,Turnhut 2 Reykjavik,3546110014,nora.norris@example.com,ChuckNorrisMain,Chuck Norris Fan Club,https://github.com/ChuckNorrisMain
Steini SpinKick,22/02/2005,Turnhut 3 Reykjavik,3546110015,steini.spinkick@example.com,SegfaultByRoundhouse,Chuck Norris Fan Club,https://twitter.com/SegfaultByRoundhouse
Ina Indent,01/11/2003,Pythonvegur 1 Reykjavik,3546110016,ina.indent@example.com,IndentationErrorIna,IndentationError Invaders,https://twitch.tv/IndentationErrorIna
Kjartan Key,04/04/2004,Pythonvegur 2 Reykjavik,3546110017,kjartan.key@example.com,KeyErrorKjartan,IndentationError Invaders,https://github.com/KeyErrorKjartan
Tinna Type,07/07/2005,Pythonvegur 3 Reykjavik,3546110018,tinna.type@example.com,TypeErrorTinna,IndentationError Invaders,https://twitter.com/TypeErrorTinna
Maria Movax,03/03/2003,Asmstraeti 1 Reykjavik,3546110019,maria.movax@example.com,MovAxMaria,Assembly Avengers,https://twitch.tv/MovAxMaria
Jon Jump,16/06/2004,Asmstraeti 2 Reykjavik,3546110020,jon.jump@example.com,JumpIfCarryJon,Assembly Avengers,https://github.com/JumpIfCarryJon
Siggi Syscall,27/09/2005,Asmstraeti 3 Reykjavik,3546110021,siggi.syscall@example.com,Syscall1337Siggi,Assembly Avengers,https://twitter.com/Syscall1337Siggi
